,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149
0,Ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012998266999999999,0.0,0.0,7.0417384620000005,5.628249567,12.06230189,0.0,2.0242434019999997,0.0,5.3702190110000005,13.36978267,0.6502651629999999,0.277923157,0.0,0.0,1.238178272,6.043511624,0.0,0.0,0.0,0.0,0.182811466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85980762,0.0,0.0,0.061516324000000004,0.064760387,0.0,2.543316333,0.165502459,0.0,0.0,0.0,0.0,0.086864045,0.183251346,0.0,0.0,4.26326621,0.0,0.0,0.30718577,0.0,0.017331023,0.0,0.177412033,0.102017682,0.0,0.0,0.0,7.025926084,0.161378636,0.0,0.0,0.193654363,0.201231181,4.360159438,0.085775352,0.43300058399999997,0.0,1.509569273,0.0,0.0,0.7843056079999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.029095294,0.0,0.15250419199999998,6.3754951570000005,0.0,0.119348704,0.0,0.0,0.064760387,0.0,0.0,1.152589837,0.077549721,0.169373319,0.0,2.1142854630000003,0.081882477,0.81731821,0.0,0.0,0.6968808129999999,0.0,0.0,0.141221415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03477126,0.0,0.0,0.0,0.0,0.0,3.4548772660000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008665510999999999,0.0,0.0,0.0,0.019926273
1,Mex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023638799,0.0,0.010944971999999999,0.017490056,0.0,0.0,0.0,41.48000916,3.08623886,0.25395465100000003,0.0,0.434707491,0.0,1.849912971,2.8286845960000004,3.6053664569999997,0.004248329,0.00228097,0.0,4.383658641,11.06629552,0.026606936,0.0,0.0,0.0,0.0,0.0,0.0,0.0065292990000000006,0.0,0.0,0.0,0.0,0.007080548000000001,0.063234224,0.0,0.0,0.0,0.0,0.0,0.0,0.108977176,0.0,0.0,0.0,0.0,0.0,0.251224936,0.0,0.06720777,1.9563457419999999,0.0,0.0,1.865471935,0.0,0.017658071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616448753,0.0,0.008872096999999999,0.0,0.05424989400000001,2.628658561,0.0,0.9121391320000001,0.0,5.315661458,0.0067891390000000005,0.020524667,1.172799962,0.0,0.0,0.0,0.0,0.0,0.026942217,0.0,0.0,2.951334503,0.0,0.0,5.718485557999999,0.0,0.599559114,0.0,0.0,0.12277303099999999,0.0,0.0,0.0,0.0,0.21251759899999997,0.05093134,1.4678448169999998,0.072627618,0.231308455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109242265,0.0,0.0137893,0.0,0.0,0.038593954,0.06934461,0.0039398,0.0028322190000000004,0.0,0.0,1.059285426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005893446,0.0,0.0,0.0,0.0,0.048295949000000005,0.04054701
2,Bra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809935205,0.0,0.0,0.0,16.34680231,0.386943339,0.11950838300000001,0.0,0.299922659,0.008061916,1.198874745,2.441418406,1.378818888,0.0,0.0,0.118625328,1.766913929,5.876842885,0.010941171000000001,0.0,0.0,0.0,0.0,0.011517022,0.0,1.5501911830000001,0.0,0.0,0.0,0.00518266,0.161987041,8.835779801000001,0.0023034039999999998,0.0,0.0,0.0,0.0,0.093287879,3.36297047,0.0,0.0,0.0,0.016699682,0.0,0.019003087,0.048371493,0.206154697,1.229769219,0.0,0.0,0.527316685,0.0,0.0,0.0,0.0,0.129566499,0.0,0.006910213,0.0,0.776247293,0.409267208,0.0,0.0,0.0,0.0,1.653058339,0.0,0.562616482,0.0,2.5068639459999997,0.0,0.0,0.418173622,0.095591284,0.013820427,0.0,0.0,0.012092873,0.0,0.0,2.043119731,10.33403245,0.265467361,0.0,1.7863871480000002,0.058160962000000004,0.41136912700000006,0.054705855,0.085801815,0.001727553,0.014972128999999999,0.0,0.065647026,0.0,0.004030958,0.0,12.57601235,0.021882342000000003,1.052915767,0.014396278,0.674946004,0.0,0.0,0.0,0.0023034039999999998,0.010941171000000001,0.0,0.0034551070000000002,0.0,0.0,0.8837113090000001,0.047219791,0.0,0.0,0.321324918,0.005758511,12.240867,0.033399364,0.0,0.06737458,0.0,1.08682382,0.782937365,0.0,0.0,0.0,0.0,0.0,0.001727553,0.0,0.0,0.0,0.017851383999999998,0.0,0.0,0.0,0.01036532,0.331114387,1.268898488
3,US,0.0,0.0,0.10760494599999999,0.0,0.259695291,0.547091413,0.065789474,0.504537215,0.006925208,0.0,0.0,0.0,0.117728532,0.228531856,9.250562804,1.940157497,0.710713122,0.0,0.465763474,0.128116343,10.78016621,4.41154003,0.5532986360000001,0.0,0.0,1.062694287,1.056344856,2.928408122,0.059058025,0.27700831,0.051675770999999995,0.0,0.0,0.0,0.0,2.3629298640000003,0.460526316,0.176592798,0.0,0.40299418600000003,0.0,1.700828812,1.412032912,0.0,0.04501385,0.0,0.0,1.273006085,0.0,0.0,0.040602392,0.344511135,0.0,0.0,0.141966759,0.0,0.42936288100000003,1.1053502309999998,0.0,0.07153730400000001,1.633280171,0.04501385,0.044293518,0.0,0.0,0.6704101889999999,0.0,0.0,0.0,1.8768725080000002,2.225754694,0.152354571,0.0,0.0,0.0,5.157981386,0.0,0.352670968,0.0,2.424356801,0.0,0.0,1.0448358309999999,1.347735184,0.141898973,0.0,0.0,0.0,0.038088643,0.0,3.193500921,8.483622979,0.305806922,0.0,4.122768944,0.0,0.0,0.0,0.0,0.11080332400000001,0.104874151,0.0,0.128116343,0.013850416,0.128048558,0.154814223,5.851956119,0.181586805,0.308767983,0.0,3.041221725,0.0,0.269676388,0.0,0.0,0.031163435,0.006925208,0.044946065,0.051939057999999996,0.0,1.288481189,0.0,0.0,0.076177285,0.735282557,0.879501385,4.29331921,0.0,0.0,2.035127654,0.041551247,0.100415512,0.463914217,0.054909853,0.027700831000000002,0.0,0.0,0.0,0.308171745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341585643,0.18325787
4,Poland,0.311649548,0.01866368,0.0,0.0,0.0,0.0,0.017557721000000002,0.07732096200000001,0.0,0.0,0.0,0.0,0.0,0.0,5.467954203,0.12479014699999999,0.021947151,0.0,0.037327361,0.0,6.600470042,1.9362731130000002,0.314967426,0.0,0.0,0.17330560399999997,0.323000554,1.9450245869999998,0.186636805,0.0,0.0,0.0,0.0,0.0,0.026336582,0.619338708,0.0,0.0,0.0,0.0,0.0,0.0,0.333596699,0.0,0.0,0.0,0.0,0.078101102,0.071988482,0.0,0.0,0.042659841,0.045326081,0.0,0.091269393,0.0,0.053324801,0.111784766,0.0,0.037327361,0.435505773,0.074654722,0.053324801,0.0,0.0,0.017557721000000002,0.0,0.0,0.0,0.258625287,0.244153719,0.0,0.0,0.0,0.0,1.180749716,0.0,0.127002066,0.0,0.47610747700000006,0.0,0.074654722,0.42594677299999995,0.199968005,0.0,0.0,0.0,0.0,0.047992321,0.0,0.510580409,1.5701492680000002,0.037001542000000005,0.0,1.132353632,0.0,0.087008465,0.0,0.037327361,0.061323522000000005,0.0,0.0,0.039993601000000004,0.008778860999999999,0.0,0.0,0.9539564,0.008778860999999999,0.053324801,0.0,0.023996161000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063989762,0.087985922,0.11464832300000001,0.0,0.0,0.0,0.157308164,0.0,0.75877246,0.0,0.0,0.9465152240000001,0.0,0.128433844,0.311950088,0.045326081,0.0,0.0,0.0,0.0,0.0,0.0,0.00799872,0.08265344200000001,0.0,0.0,0.0,0.0,29.95250652,39.94651594,0.186636805
5,UK,0.0073991859999999994,0.0,0.0,0.0036995929999999997,0.0,0.0,0.0,0.098783404,0.0,0.0,0.025995632999999997,0.030045488999999998,0.0,0.0,5.752514036,3.234591668,3.799765383,0.0,3.0005111419999997,0.0,6.3364467310000006,13.21524719,0.140584536,0.47748812799999996,0.0,0.8896201779999999,4.071652966,1.099993418,0.067588645,0.0,0.0,0.009248983,0.607378967,2.392136205,0.0,0.18237451100000002,0.136928605,0.0,0.0,0.140376417,0.0,0.17917848100000003,0.027746947999999997,0.011098779,0.0,0.014798371999999999,2.014428413,0.311805449,0.130580208,0.0,0.0,0.041593012,0.0,0.038845727000000004,0.036393886,0.122031752,0.332601955,0.804376237,0.0,0.0,0.8666672740000001,0.0,0.041593012,0.13517729,0.0,1.05215049,0.0,0.057190392,0.0,2.462318835,0.053644099,0.164073509,0.0,0.10053471900000001,0.149526918,2.552903084,0.279056337,0.21356927,0.020347762,0.164828853,0.0,0.0,0.743092327,0.8454768429999999,0.022197558,0.00554939,0.0,0.040695523,0.911762917,0.610629815,1.238804326,3.313913644,0.500791294,0.018497965,2.300784493,0.0,0.0,0.205469558,0.022197558,0.077986898,0.0,0.0,1.3018618640000001,0.74893716,0.587315493,0.847063701,5.703355458,0.066439375,0.45408648100000004,8.396589373,0.0,0.0,0.0,0.0,0.009248983,0.0,0.0,0.010398253,0.0,0.0,0.253958193,0.0073991859999999994,0.0,0.0,0.093135533,0.18712489300000001,3.632867459,0.0,0.0,0.025995632999999997,0.0,0.19446926,0.113581777,0.057792437,0.0,0.0,0.0,0.0,0.031545022,0.0036995929999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.095685856,1.9996300409999999,6.220536792000001
6,China,0.083570608,0.0,0.0,0.0,0.0,0.0,0.0,0.009139096999999999,0.0,0.0,0.003655639,0.009139096999999999,0.0,0.0,1.9520079419999998,4.820146607,3.3185879789999997,0.294794653,4.815838245,0.09513201,6.766219652999999,9.601341094,0.216769063,0.401529106,0.0,4.489189356,1.488797699,1.162485912,0.0,0.0,0.0,0.0,0.10376202300000001,0.0060574240000000005,0.0,0.016153132,0.0,0.0,0.0,0.0,0.0,0.170414211,0.0,0.0,0.020191415,0.009139096999999999,0.026248839,0.92967296,0.7284592209999999,0.003655639,0.0,0.0,0.0,0.073857545,0.010095706999999999,0.064633047,0.059638153,1.618955521,0.060318040999999996,0.096874429,0.224271663,0.32169621600000003,0.024229697999999997,4.376182315,0.0,1.4722380819999998,0.078596235,0.0,0.272345092,6.693811786,0.033368795,0.16922523899999997,0.0,0.20435697100000003,0.46422509100000003,6.129422664,0.066928911,0.27485612,0.0,0.08221083400000001,0.0,0.0,0.882460775,0.8357709609999999,0.084335896,0.0,0.030287122000000003,0.010095706999999999,2.322549519,0.040871394,1.3737304769999998,10.66528774,0.8859899729999999,0.22624644300000002,2.1361562999999997,0.026248839,0.0,0.23436737,0.24760963100000002,0.110499334,0.010095706999999999,0.034728569,1.456303435,0.83001078,0.056173837000000004,0.19851138899999998,3.2993459410000003,0.129225054,0.49438909299999995,0.030287122000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470794922,0.093857637,0.0,0.0,0.307439107,2.31718977,2.636380421,0.0,0.0,0.0,0.0,1.51172586,0.0,0.0,0.0,0.526995921,0.119129346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011732205,0.8621839590000001,0.0,0.076556573
7,Pak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28255208,0.003019688,0.28147900600000003,0.0,0.40696599,0.0,0.690793312,3.0931416869999997,1.8466491390000002,0.003152693,0.002228243,1.756088479,3.712501543,4.241467511000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004529533,0.00123585,0.018777822,1.505660235,0.0,0.009691097,0.0,0.0,0.766350325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203349273,0.0,1.39262116,2.962910659,0.19803467100000002,0.082142857,1.024573802,2.180595731,0.011070755,0.787154754,0.0,0.0,0.0,0.0,0.003133617,0.002264766,1.1530833459999998,0.0,0.00304477,0.0,1.131463235,8.392035566,0.0,0.446637547,0.0,5.927031921,0.008329225,0.00766315,2.06723295,0.0,0.006400188,0.0,0.0,0.008304143,1.253775691,0.0,0.000445649,3.0930636660000004,0.0,0.0,3.9912066489999996,0.0,0.41806545700000003,0.0,0.0,0.033267478999999996,0.0,0.0,0.010995405,0.0,0.001509844,0.004325473,4.4830994,0.0028679590000000002,0.10574696,0.561294359,0.0,0.002264766,0.0,0.002350213,0.213106021,0.003152693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022800179,0.0,0.0,0.0,0.0,0.0,0.040650164,0.0,0.0,0.0,0.0,0.0,0.014884683000000001,0.0,0.0,0.0,0.0,0.0,0.002067711,0.0,0.001509844,0.0,0.0,0.112187415
